"year","country","overshoot_day","country_3_code"
1992,"Tajikistan",492.980353506463,"TJK"
1993,"Tajikistan",593.589098074428,"TJK"
1994,"Tajikistan",708.841423213789,"TJK"
1995,"Tajikistan",775.316082384601,"TJK"
1996,"Tajikistan",899.392805600532,"TJK"
1997,"Tajikistan",848.426529339876,"TJK"
1998,"Tajikistan",809.728619123327,"TJK"
1999,"Tajikistan",862.758788716025,"TJK"
2000,"Tajikistan",814.451969745921,"TJK"
2001,"Tajikistan",811.139466787958,"TJK"
2002,"Tajikistan",785.678376574432,"TJK"
2003,"Tajikistan",787.793110082419,"TJK"
2004,"Tajikistan",787.952203821116,"TJK"
2005,"Tajikistan",741.957202623515,"TJK"
2006,"Tajikistan",718.340366310024,"TJK"
2007,"Tajikistan",687.212605563551,"TJK"
2008,"Tajikistan",679.208399713774,"TJK"
2009,"Tajikistan",626.575013530849,"TJK"
2010,"Tajikistan",716.535124538512,"TJK"
2011,"Tajikistan",681.217428111633,"TJK"
2012,"Tajikistan",632.661426353959,"TJK"
2013,"Tajikistan",658.429760592486,"TJK"
2014,"Tajikistan",633.94904639943,"TJK"
